specObjID,plate,mjd,fiberid,redshift
3096391940753614848,2750,54242,608,1.341296
3097351814421440512,2751,54243,4,1.202975
3097358961247021056,2751,54243,30,1.042649
3097363359293532160,2751,54243,46,1.200382
7559337437560068096,6714,56447,165,1.500248
7559339911461230592,6714,56447,174,1.498277
7559340461217044480,6714,56447,176,1.53601
7559343209996113920,6714,56447,186,1.825452
11514634010593875968,10227,58224,202,1.266206
11514636484495038464,10227,58224,211,1.425995
11514637858884573184,10227,58224,216,1.014124
11514638958396200960,10227,58224,220,1.506735
11514639508152014848,10227,58224,222,1.735626
11514640057907828736,10227,58224,224,1.921912
11514642256931084288,10227,58224,232,1.223648
2721355938236753920,2417,53766,203,1.564205
13097708932130166784,11633,58463,419,1.963765
13097715529199933440,11633,58463,443,1.583436
13097720202124351488,11633,58463,460,1.401095
13097721301635979264,11633,58463,464,1.544395
13097722126269700096,11633,58463,467,1.481631
12430050837010864128,11040,58456,421,1.782437
12430052211400398848,11040,58456,426,1.815905
12430055235057375232,11040,58456,437,1.225582
12430060182859700224,11040,58456,455,1.801001
12430060457737607168,11040,58456,456,1.754166
12430063481394583552,11040,58456,467,1.13169
8603262994544351232,7641,57307,952,1.00783
8603264368933885952,7641,57307,957,1.783628
8603266842835048448,7641,57307,966,1.268333
8603269041858304000,7641,57307,974,1.851138
8603269866492024832,7641,57307,977,1.888067
8603272065515280384,7641,57307,985,1.236701
8603273714782722048,7641,57307,991,1.950066
8603273989660628992,7641,57307,992,1.338575
8603274264538535936,7641,57307,993,1.390923
8604134363280726016,7642,57651,26,1.427389
8604135462792353792,7642,57651,30,1.795703
8604136562303981568,7642,57651,34,1.844303
8604137386937702400,7642,57651,37,1.212036
8604139311083051008,7642,57651,44,1.003602
8604141510106306560,7642,57651,52,1.569404
8604143709129562112,7642,57651,60,1.433106
8604148107176073216,7642,57651,76,1.342181
2385880647387342848,2119,53792,359,1.151177
2385882571532691456,2119,53792,366,1.153432
12746355043034486784,11321,58425,153,1.323921
12069706788272101376,10720,58250,217,1.564433
12069708162661636096,10720,58250,222,1.457673
12069708987295356928,10720,58250,225,1.852873
12069709811929077760,10720,58250,228,1.357079
12069710361684891648,10720,58250,230,1.80415
1337640327166584832,1188,52650,259,1.037219
10747917608470992896,9546,57864,280,1.433906
10747927778953549824,9546,57864,317,1.906536
6176801339315869696,5486,56030,416,1.88299
992041552714950656,881,52368,450,1.223137
992051448319600640,881,52368,486,1.159688
9328246322938271744,8285,57048,602,1.587059
9328253469763852288,8285,57048,628,1.715741
12443652620178184192,11052,58438,752,1.48886
12443653444811905024,11052,58438,755,1.34542
12443656468468881408,11052,58438,766,1.922796
12443656743346788352,11052,58438,767,1.257565
12443661416271206400,11052,58438,784,1.886517
12443662240904927232,11052,58438,787,1.160439
12443664165050275840,11052,58438,794,1.97358
12443668013340973056,11052,58438,808,1.514225
12443671311875856384,11052,58438,820,1.116513
13120326986882111488,11653,58526,783,1.97328
13120328911027460096,11653,58526,790,1.808304
13120330560294901760,11653,58526,796,1.517941
13120332484440250368,11653,58526,803,1.748335
13120342654922807296,11653,58526,840,1.320528
13120342929800714240,11653,58526,841,1.183079
13120343204678621184,11653,58526,842,1.918685
13120347877603039232,11653,58526,859,1.993081
13120349801748387840,11653,58526,866,1.036344
4803119331201538048,4266,55486,110,1.036302
1922041223409854464,1707,53885,473,1.623388
1922042872677296128,1707,53885,479,1.801338
7566178323073882112,6720,56390,476,1.263436
7566181071852951552,6720,56390,486,1.449233
9834967819674212352,8735,58133,844,1.875426
9834971667964909568,8735,58133,858,1.404948
9834979364546304000,8735,58133,886,1.53857
9834979914302117888,8735,58133,888,1.526166
9834980464057931776,8735,58133,890,1.161556
9834981013813745664,8735,58133,892,1.60302
9834987061127698432,8735,58133,914,1.376795
9834987610883512320,8735,58133,916,1.523843
9834989809906767872,8735,58133,924,1.0922
9834992008930023424,8735,58133,932,1.300837
9834992283807930368,8735,58133,933,1.791487
9834993658197465088,8735,58133,938,1.787102
9834998880877697024,8735,58133,957,1.874507
7220573230255593472,6413,56336,644,1.207299
7220575429278849024,6413,56336,652,1.743161
7220583675616057344,6413,56336,682,1.115873
7220584775127685120,6413,56336,686,1.94118
7220585874639312896,6413,56336,690,1.097039
7220586974150940672,6413,56336,694,1.380185
7220601267802101760,6413,56336,746,1.133886
7560428428006283264,6715,56449,38,1.373784
12749729443716814848,11324,58395,141,1.973581
12749732467373791232,11324,58395,152,1.111624
12749733017129605120,11324,58395,154,1.891301
12749733566885419008,11324,58395,156,1.622797
12749733841763325952,11324,58395,157,1.918691
12749734666397046784,11324,58395,160,1.897331
12749736315664488448,11324,58395,166,1.000003
12749736865420302336,11324,58395,168,1.272385
10325679308304308224,9171,58068,186,1.453817
10325684256106633216,9171,58068,204,1.388678
7911950266848794624,7027,56448,915,1.080515
4449662624138024960,3952,55330,386,1.231653
8251804642616563712,7329,56719,306,1.470525
9069213755272091648,8055,57187,327,1.77274
7220562235139315712,6413,56336,604,1.19521
7220563334650943488,6413,56336,608,1.49119
12768853524890277888,11341,58428,82,1.886506
12768855723913533440,11341,58428,90,1.515398
12768856273669347328,11341,58428,92,1.941003
12768861771227486208,11341,58428,112,1.313725
12768863145617020928,11341,58428,117,1.537071
12768864245128648704,11341,58428,121,1.197271
12768866169273997312,11341,58428,128,1.872521
12768870842198415360,11341,58428,145,1.684878
12768872766343763968,11341,58428,152,1.649849
12768877989023995904,11341,58428,171,1.434897
12768879638291437568,11341,58428,177,1.98601
12768880462925158400,11341,58428,180,1.877966
12768882661948413952,11341,58428,188,1.473188
12768884311215855616,11341,58428,194,1.385481
6182367342120687616,5491,56034,185,1.820631
1348856720478201856,1198,52669,104,1.371859
7911704800877893632,7027,56448,22,1.056816
7911705075755800576,7027,56448,23,1.549481
11259001946659641344,10000,57716,10,1.79539
11514579584768301056,10227,58224,4,1.822952
11514583982814812160,10227,58224,20,1.447278
11514584532570626048,10227,58224,22,1.356495
11514586181838067712,10227,58224,28,1.01279
11514586456715974656,10227,58224,29,1.824199
11514590579884578816,10227,58224,44,1.809534
8596282739472488448,7635,56979,134,1.631978
8596284113862023168,7635,56979,139,1.172938
8596290710931789824,7635,56979,163,1.78308
8596295383856207872,7635,56979,180,1.793051
6176707331071694848,5486,56030,74,1.870164
6176711179362392064,5486,56030,88,1.436907
6879416211677140992,6110,56279,610,1.647245
2375650235994105856,2110,53467,5,1.206675
2375651885261547520,2110,53467,11,1.978922
2375657107941779456,2110,53467,30,1.354992
646302045288032256,574,52355,129,1.161933
10333542191050545152,9178,58081,119,1.358984
310892717217441792,276,51909,525,1.478902
310892992095348736,276,51909,526,1.764182
310893541851162624,276,51909,528,1.289323
310896565508139008,276,51909,539,1.251903
310896840386045952,276,51909,540,1.035289
310900688676743168,276,51909,554,1.109469
310901513310464000,276,51909,557,1.144497
6530477950265219072,5800,56279,940,1.820667
2734837325736470528,2429,53799,96,1.762423
2734838425248098304,2429,53799,100,1.323452
2734841723782981632,2429,53799,112,1.478361
2734850519876003840,2429,53799,144,1.420423
2734866462794606592,2429,53799,202,1.720965
9989142427703990272,8872,57422,576,1.937779
9989145176483059712,8872,57422,586,1.241987
9989145726238873600,8872,57422,588,1.239001
9989147100628408320,8872,57422,593,1.761799
9989148200140036096,8872,57422,597,1.124022
9989149299651663872,8872,57422,601,1.189613
9989153422820268032,8872,57422,616,1.031957
9989158920378406912,8872,57422,636,1.013779
2736031395632670720,2430,53815,344,1.693995
2736033319778019328,2430,53815,351,1.615072
2736056959278016512,2430,53815,437,1.201065
9839312256806180864,8739,57645,265,1.491529
9839313081439901696,8739,57645,268,1.646863
9839313356317808640,8739,57645,269,1.745796
9839313906073622528,8739,57645,271,1.420924
9839315280463157248,8739,57645,276,1.342689
9839317754364319744,8739,57645,285,1.135466
9839318853875947520,8739,57645,289,1.596173
9839320503143389184,8739,57645,295,1.470528
9839324351434086400,8739,57645,309,1.052618
9839324626311993344,8739,57645,310,1.949586
9839325176067807232,8739,57645,312,1.638921
9839325725823621120,8739,57645,314,1.201094
9839326000701528064,8739,57645,315,1.733981
9839329024358504448,8739,57645,326,1.921391
9839336171184084992,8739,57645,352,1.900133
9839338370207340544,8739,57645,360,1.208515
3097378752456321024,2751,54243,102,1.416493
3097382600747018240,2751,54243,116,1.596613
3097399368299341824,2751,54243,177,1.78401
8250633387787966464,7328,56715,141,1.941317
8250636961200756736,7328,56715,154,1.706836
2028915402897123328,1802,53885,159,1.553489
9978888387330070528,8863,57724,136,1.930704
9978892785376581632,8863,57724,152,1.714115
9978895534155651072,8863,57724,162,1.064883
9978897458300999680,8863,57724,169,1.102291
4794121477711747072,4258,55481,144,1.095142
1337607341817751552,1188,52650,139,1.689654
1337608166451472384,1188,52650,142,1.764439
1337612014742169600,1188,52650,156,1.898822
6158772921664034816,5470,56008,365,1.122012
6158791338483800064,5470,56008,432,1.416482
6158798210431473664,5470,56008,457,1.933739
6183617211560908800,5492,56010,636,1.813518
12077729648852883456,10727,58197,732,1.712544
12077730198608697344,10727,58197,734,1.723576
12077732947387766784,10727,58197,744,1.716697
12077733772021487616,10727,58197,747,1.1375
12077735696166836224,10727,58197,754,1.34809
12077738719823812608,10727,58197,765,1.148396
12077740094213347328,10727,58197,770,1.141745
12077744492259858432,10727,58197,786,1.364008
12077745316893579264,10727,58197,789,1.044233
3095199520376514560,2749,54241,366,1.08301
3095200894766049280,2749,54241,371,1.422742
3515095049295732736,3122,54821,129,1.024305
13097848844984801280,11633,58463,928,1.217548
13097849394740615168,11633,58463,930,1.726125
13097851868641777664,11633,58463,939,1.855828
11514825325617108992,10227,58224,898,1.409538
11514829723663620096,10227,58224,914,1.622146
11514833022198503424,10227,58224,926,1.348332
12430202294737590272,11040,58456,972,1.640612
12430203394249218048,11040,58456,976,1.649376
12430203669127124992,11040,58456,977,1.643724
12430208342051543040,11040,58456,994,1.002827
12430208891807356928,11040,58456,996,1.234625
12432187737960110080,11042,58462,3,1.189692
12432188012838017024,11042,58462,4,1.702757
12432188562593830912,11042,58462,6,1.193275
12432189662105458688,11042,58462,10,1.886379
12432191861128714240,11042,58462,18,1.695751
2375756613744093184,2110,53467,392,1.217563
10324765064050268160,9170,58048,956,1.823942
10324774409899104256,9170,58048,990,1.391156
10324774684777011200,9170,58048,991,1.392933
10324774959654918144,9170,58048,992,1.008372
10325631754426406912,9171,58068,13,1.147148
2029011335286646784,1802,53885,508,1.579453
6522577410436913152,5793,56337,870,1.538453
468487916205664256,416,51811,413,1.242289
468494238397523968,416,51811,436,1.589545
468495887664965632,416,51811,442,1.837838
468503584246360064,416,51811,470,1.910364
468504408880080896,416,51811,473,1.726189
2584095654867396608,2295,53734,565,1.270447
2584098128768559104,2295,53734,574,1.00227
2584104450960418816,2295,53734,597,1.650295
3315853091680577536,2945,54505,283,1.550399
3315859413872437248,2945,54505,306,1.591471
3315867935087552512,2945,54505,337,1.063462
1182288406323947520,1050,52721,340,1.320002
8606495284187650048,7644,57327,423,1.156888
8606497758088812544,7644,57327,432,1.976911
8606502156135323648,7644,57327,448,1.041858
8606513151251601408,7644,57327,488,1.685223
8606514250763229184,7644,57327,492,1.72812
5495635738983946240,4881,55733,430,1.360214
10754760968003409920,9552,57814,600,1.377556
10754765091172014080,9552,57814,615,1.539743
10754767015317362688,9552,57814,622,1.698721
10754773337509222400,9552,57814,645,1.646817
10754775536532477952,9552,57814,653,1.631567
3812379905899995136,3386,54952,301,1.569767
3092858659986761728,2747,54233,42,1.690546
12075544920137684992,10725,58250,976,1.774445
12076405562008688640,10726,58199,11,1.605407
12076407486154037248,10726,58199,18,1.305232
12076410234933106688,10726,58199,28,1.06057
12076413533467990016,10726,58199,40,1.876811
12076414083223803904,10726,58199,42,1.128386
12076419580781942784,10726,58199,62,1.161526
12076420680293570560,10726,58199,66,1.445073
12076423429072640000,10726,58199,76,1.542151
12076423978828453888,10726,58199,78,1.121529
6176715027653089280,5486,56030,102,1.465199
7213670495836985344,6407,56311,108,1.190368
9827999652418705408,8729,57399,70,1.657782
9828000202174519296,8729,57399,72,1.329768
9828007898755913728,8729,57399,100,1.306845
9828010372657076224,8729,57399,109,1.587252
9828013121436145664,8729,57399,119,1.235059
6176734818862389248,5486,56030,174,1.265856
14101960254733703168,12525,58932,232,1.20857
14101963553268586496,12525,58932,244,1.433334
8596316824332949504,7635,56979,258,1.783494
8596320672623646720,7635,56979,272,1.13871
8596327269693413376,7635,56979,296,1.66746
11514728568593864704,10227,58224,546,1.237454
11514731867128748032,10227,58224,558,1.222393
11514737364686886912,10227,58224,578,1.398691
11514739838588049408,10227,58224,587,1.04164
14102077077844154368,12525,58932,657,1.763254
4448617544224626688,3951,55681,680,1.962171
11514745885902002176,10227,58224,609,1.814021
11514746160779909120,10227,58224,610,1.790516
11514748084925257728,10227,58224,617,1.183008
11514755781506652160,10227,58224,645,1.970741
11514757980529907712,10227,58224,653,1.410772
11514759080041535488,10227,58224,657,1.342818
12429985141191104512,11040,58456,182,1.393382
12429989539237615616,11040,58456,198,1.295144
12429998335330637824,11040,58456,230,1.00377
12429999159964358656,11040,58456,233,1.871841
646277856032221184,574,52355,41,1.544528
2374595254604032000,2109,53468,263,1.778714
2374604875330775040,2109,53468,298,1.649416
13097678420682496000,11633,58463,308,1.505725
13097680344827844608,11633,58463,315,1.57072
13097682818729007104,11633,58463,324,1.907137
13097688591165052928,11633,58463,345,1.505063
14101986368134862848,12525,58932,327,1.957127
7559363001205413888,6714,56447,258,1.589545
7559365200228669440,6714,56447,266,1.11532
7559378944124016640,6714,56447,316,1.145856
9989170740128405504,8872,57422,679,1.313066
9989178161831892992,8872,57422,706,1.150895
9989187507680729088,8872,57422,740,1.290489
12772225727220439040,11344,58438,62,1.376873
12772228750877415424,11344,58438,73,1.278913
12772232874046019584,11344,58438,88,1.683147
12772241670139041792,11344,58438,120,1.728064
12772249916476250112,11344,58438,150,1.490809
12772251565743691776,11344,58438,156,1.853418
12772253489889040384,11344,58438,163,1.592441
12772255139156482048,11344,58438,169,1.068572
12772255414034388992,11344,58438,170,1.341227
12772255963790202880,11344,58438,172,1.400789
12772256788423923712,11344,58438,175,1.735804
9328236152455714816,8285,57048,565,1.3239
8596473504739907584,7635,56979,828,1.323675
8596476253518977024,7635,56979,838,1.14136
8596477902786418688,7635,56979,844,1.043128
8596484774734092288,7635,56979,869,1.191763
8596491646681765888,7635,56979,894,1.443804
8596493021071300608,7635,56979,899,1.315474
8596496044728276992,7635,56979,910,1.440665
8596497693995718656,7635,56979,916,1.234197
8596498518629439488,7635,56979,919,1.224865
8596498793507346432,7635,56979,920,1.476082
8596502916675950592,7635,56979,935,1.128858
8596503191553857536,7635,56979,936,1.960776
7559486146507724800,6714,56447,706,1.359733
7559489994798422016,6714,56447,720,1.827378
12746508699784468480,11321,58425,712,1.696968
12746512273197258752,11321,58425,725,1.624132
12746513097830979584,11321,58425,728,1.312548
12746516946121676800,11321,58425,742,1.939273
12746517495877490688,11321,58425,744,1.498731
12746517770755397632,11321,58425,745,1.391066
12746519145144932352,11321,58425,750,1.239666
9318140162130335744,8276,57067,700,1.104225
9318143460665219072,8276,57067,712,1.207782
9318150332612892672,8276,57067,737,1.7745
9318153906025682944,8276,57067,750,1.567991
9318161052851263488,8276,57067,776,1.79267
9318167375043123200,8276,57067,799,1.545061
9318168199676844032,8276,57067,802,1.914289
9328188048821999616,8285,57048,390,1.045585
9328189148333627392,8285,57048,394,1.334391
9328194096135952384,8285,57048,412,1.298417
9328195745403394048,8285,57048,418,1.32608
9328196844915021824,8285,57048,422,1.924824
9839277347311998976,8739,57645,138,1.732704
9839280096091068416,8739,57645,148,1.805806
9839280920724789248,8739,57645,151,1.061171
9839282020236417024,8739,57645,155,1.836848
9839283119748044800,8739,57645,159,1.651096
9839284494137579520,8739,57645,164,1.156734
9839285043893393408,8739,57645,166,1.238407
9839287242916648960,8739,57645,174,1.342418
9839287792672462848,8739,57645,176,1.345843
9839293839986415616,8739,57645,198,1.476194
9839294389742229504,8739,57645,200,1.481211
9839299887300368384,8739,57645,220,1.464076
9839302086323623936,8739,57645,228,1.73776
4109634253758945280,3650,55244,362,1.583123
9078156089867130880,8063,57576,91,1.304632
9078159113524107264,8063,57576,102,1.668266
9078159663279921152,8063,57576,104,1.330008
3495927263155822592,3105,54825,29,1.054822
11514809932454320128,10227,58224,842,1.093754
11514819278303156224,10227,58224,876,1.668638
11514820927570597888,10227,58224,882,1.593306
12430167660121315328,11040,58456,846,1.230006
12430170958656198656,11040,58456,858,1.702027
12430177555725965312,11040,58456,882,1.848554
12430179754749220864,11040,58456,890,1.078079
11742030606078597120,10429,58145,74,1.459633
14101966302047655936,12525,58932,254,1.64295
14101967951315097600,12525,58932,260,1.590447
14101972074483701760,12525,58932,275,1.187303
14101976472530212864,12525,58932,291,1.276588
14101978121797654528,12525,58932,297,1.325953
6176764505676339200,5486,56030,282,1.713953
12746540860499580928,11321,58425,829,1.112889
12746541135377487872,11321,58425,830,1.773129
1337711245666576384,1188,52650,517,1.433165
1337712894934018048,1188,52650,523,1.334424
9978991741423081472,8863,57724,512,1.235804
9978993390690523136,8863,57724,518,1.376664
9978996689225406464,8863,57724,530,1.353849
9979007134585870336,8863,57724,568,1.03724
9979007684341684224,8863,57724,570,1.625271
8596424576472471552,7635,56979,650,1.562528
8596427050373634048,7635,56979,659,1.451931
8596428149885261824,7635,56979,663,1.75224
8596433647443400704,7635,56979,683,1.718309
8596438320367818752,7635,56979,700,1.740829
8596441893780609024,7635,56979,713,1.060951
8596446291827120128,7635,56979,729,1.868936
8596447391338747904,7635,56979,733,1.169984
8596450964751538176,7635,56979,746,1.502577
6888386575782402048,6118,56189,476,1.583103
1351161571711150080,1200,52668,297,1.142973
1351176964873938944,1200,52668,353,1.599978
1351183836821612544,1200,52668,378,1.538096
1351186860478588928,1200,52668,389,1.579714
1351190159013472256,1200,52668,401,1.55112
1351195106815797248,1200,52668,419,1.145598
1005506450694367232,893,52589,283,1.83819
11751079861485328384,10437,58135,227,1.994503
9317949121985009664,8276,57067,5,1.662697
9317950496374544384,8276,57067,10,1.738064
9317953245153613824,8276,57067,20,1.20971
9317957093444311040,8276,57067,34,1.392781
9317958742711752704,8276,57067,40,1.646045
9317965064903612416,8276,57067,63,1.606588
12069663907318618112,10720,58250,61,1.192677
12069666381219780608,10720,58250,70,1.641416
12069669129998850048,10720,58250,80,1.263969
12069679300481406976,10720,58250,117,1.834492
2028891488519219200,1802,53885,72,1.091521
2028894787054102528,1802,53885,84,1.678267
9317976884653611008,8276,57067,106,1.959523
9317978533921052672,8276,57067,112,1.3833
8596297033123649536,7635,56979,186,1.477301
8596299232146905088,7635,56979,194,1.402658
8596306378972485632,7635,56979,220,1.591294
8596311876530624512,7635,56979,240,1.970418
12746329754267047936,11321,58425,61,1.366531
12746330578900768768,11321,58425,64,1.630654
12746333877435652096,11321,58425,76,1.651829
12746341024261232640,11321,58425,102,1.344792
12746344597674022912,11321,58425,115,1.59851
8250629814375176192,7328,56715,128,1.876942
9075981542103472128,8061,58253,372,1.545477
9075983741126727680,8061,58253,380,1.427944
9075984565760448512,8061,58253,383,1.854308
9075986764783704064,8061,58253,391,1.221665
9075988688929052672,8061,58253,398,1.631681
9075989238684866560,8061,58253,400,1.457901
9075990338196494336,8061,58253,404,1.426004
9075996110632540160,8061,58253,425,1.171237
9075998309655795712,8061,58253,433,1.093968
9076000233801144320,8061,58253,440,1.444729
9076003532336027648,8061,58253,452,1.377704
9076006830870910976,8061,58253,464,1.537895
9076010129405794304,8061,58253,476,1.899384
9076012603306956800,8061,58253,485,1.38649
9076015077208119296,8061,58253,494,1.657292
13118127688496994304,11651,58511,974,1.163901
13118134560444667904,11651,58511,999,1.330673
9067999619674560512,8054,57194,6,1.414929
9068000994064095232,8054,57194,11,1.022617
9068002643331536896,8054,57194,17,1.965414
9068010339912931328,8054,57194,45,1.953754
9068011989180372992,8054,57194,51,1.942953
9068015012837349376,8054,57194,62,1.770342
6522342664704382976,5793,56337,16,1.86537
6522354759332288512,5793,56337,60,1.360747
14101932492065101824,12525,58932,131,1.417574
14101943762059286528,12525,58932,172,1.24026
12069732077039540224,10720,58250,309,1.35473
12069734001184888832,10720,58250,316,1.181323
12069734276062795776,10720,58250,317,1.137791
12069743896789538816,10720,58250,352,1.479495
1337668364713093120,1188,52650,361,1.740792
9828067272383813632,8729,57399,316,1.730371
9828067547261720576,8729,57399,317,1.272722
9828069471407069184,8729,57399,324,1.496072
9828069746284976128,8729,57399,325,1.222387
9828075243843115008,8729,57399,345,1.298711
